Date,Vegetable,Price
2019-05-19,Strawberries,1.16
2019-05-19,Romaine Lettuce,0.35
2019-05-19,Red Leaf Lettuce,0.32
2019-05-19,Potatoes,1.5
2019-05-19,Oranges,0.41
2019-05-19,Iceberg Lettuce,0.35
2019-05-19,Green Leaf Lettuce,0.31
2019-05-19,Celery,2.83
2019-05-19,Cauliflower,1.22
2019-05-19,Carrots,0.24
2019-05-19,Cantaloupe,1.25
2019-05-19,Broccoli Crowns,0.73
2019-05-19,Avocados,1.23
2019-05-12,Strawberries,0.91
2019-05-12,Romaine Lettuce,0.36
2019-05-12,Red Leaf Lettuce,0.34
2019-05-12,Potatoes,1.5
2019-05-12,Oranges,0.41
2019-05-12,Iceberg Lettuce,0.36
2019-05-12,Green Leaf Lettuce,0.35
2019-05-12,Celery,2.84
2019-05-12,Cauliflower,2.74
2019-05-12,Carrots,0.3
2019-05-12,Cantaloupe,1.41
2019-05-12,Broccoli Crowns,0.81
2019-05-12,Broccoli Bunches,1.09
2019-05-12,Avocados,1.23
2019-05-05,Strawberries,0.58
2019-05-05,Romaine Lettuce,0.36
2019-05-05,Red Leaf Lettuce,0.34
2019-05-05,Potatoes,1.6
2019-05-05,Oranges,0.41
2019-05-05,Iceberg Lettuce,0.38
2019-05-05,Green Leaf Lettuce,0.34
2019-05-05,Celery,2.46
2019-05-05,Cauliflower,3.33
2019-05-05,Carrots,0.3
2019-05-05,Broccoli Crowns,0.93
2019-05-05,Avocados,1.01
2019-04-28,Strawberries,0.58
2019-04-28,Romaine Lettuce,0.39
2019-04-28,Red Leaf Lettuce,0.38
2019-04-28,Potatoes,1.6
2019-04-28,Oranges,0.41
2019-04-28,Iceberg Lettuce,0.35
2019-04-28,Green Leaf Lettuce,0.35
2019-04-28,Celery,2.63
2019-04-28,Cauliflower,3.23
2019-04-28,Carrots,0.3
2019-04-28,Broccoli Crowns,1.04
2019-04-28,Broccoli Bunches,1.27
2019-04-28,Avocados,0.94
2019-04-21,Strawberries,0.69
2019-04-21,Romaine Lettuce,0.51
2019-04-21,Red Leaf Lettuce,0.45
2019-04-21,Potatoes,1.6
2019-04-21,Oranges,0.41
2019-04-21,Iceberg Lettuce,0.42
2019-04-21,Green Leaf Lettuce,0.43
2019-04-21,Celery,2.98
2019-04-21,Cauliflower,1.96
2019-04-21,Carrots,0.3
2019-04-21,Broccoli Crowns,0.75
2019-04-21,Broccoli Bunches,0.85
2019-04-21,Avocados,1.03
2019-04-14,Strawberries,0.9
2019-04-14,Romaine Lettuce,0.56
2019-04-14,Red Leaf Lettuce,0.44
2019-04-14,Potatoes,1.6
2019-04-14,Oranges,0.41
2019-04-14,Iceberg Lettuce,0.57
2019-04-14,Green Leaf Lettuce,0.43
2019-04-14,Celery,2.98
2019-04-14,Cauliflower,1.18
2019-04-14,Carrots,0.29
2019-04-14,Broccoli Crowns,0.46
2019-04-14,Broccoli Bunches,0.57
2019-04-14,Avocados,1.13
2019-04-14,Asparagus,2.43
2019-04-07,Strawberries,1.08
2019-04-07,Romaine Lettuce,0.46
2019-04-07,Red Leaf Lettuce,0.43
2019-04-07,Potatoes,1.6
2019-04-07,Oranges,0.41
2019-04-07,Iceberg Lettuce,0.5
2019-04-07,Green Leaf Lettuce,0.39
2019-04-07,Celery,2.9
2019-04-07,Cauliflower,1.06
2019-04-07,Carrots,0.3
2019-04-07,Broccoli Crowns,0.49
2019-04-07,Avocados,1.18
2019-04-07,Asparagus,2.43
2019-03-31,Strawberries,1.81
2019-03-31,Romaine Lettuce,0.39
2019-03-31,Red Leaf Lettuce,0.34
2019-03-31,Potatoes,1.6
2019-03-31,Oranges,0.42
2019-03-31,Iceberg Lettuce,0.51
2019-03-31,Green Leaf Lettuce,0.34
2019-03-31,Celery,2.73
2019-03-31,Cauliflower,0.99
2019-03-31,Carrots,0.3
2019-03-31,Broccoli Crowns,0.65
2019-03-31,Broccoli Bunches,0.73
2019-03-31,Avocados,1.19
2019-03-31,Asparagus,2.34
2019-03-24,Strawberries,1.81
2019-03-24,Romaine Lettuce,0.34
2019-03-24,Red Leaf Lettuce,0.35
2019-03-24,Potatoes,1.7
2019-03-24,Oranges,0.34
2019-03-24,Iceberg Lettuce,0.56
2019-03-24,Green Leaf Lettuce,0.34
2019-03-24,Celery,2.73
2019-03-24,Cauliflower,0.99
2019-03-24,Carrots,0.3
2019-03-24,Broccoli Crowns,0.89
2019-03-24,Avocados,1.06
2019-03-17,Strawberries,1.88
2019-03-17,Romaine Lettuce,0.43
2019-03-17,Red Leaf Lettuce,0.6
2019-03-17,Potatoes,1.7
2019-03-17,Oranges,0.42
2019-03-17,Iceberg Lettuce,0.92
2019-03-17,Green Leaf Lettuce,0.38
2019-03-17,Celery,2.7
2019-03-17,Cauliflower,1.98
2019-03-17,Carrots,0.3
2019-03-17,Broccoli Crowns,0.85
2019-03-17,Broccoli Bunches,0.97
2019-03-17,Avocados,0.64
2019-03-10,Strawberries,1.88
2019-03-10,Romaine Lettuce,0.49
2019-03-10,Red Leaf Lettuce,0.48
2019-03-10,Potatoes,1.7
2019-03-10,Oranges,0.42
2019-03-10,Iceberg Lettuce,0.75
2019-03-10,Green Leaf Lettuce,0.48
2019-03-10,Celery,2.22
2019-03-10,Cauliflower,1.5
2019-03-10,Carrots,0.3
2019-03-10,Broccoli Crowns,0.69
2019-03-10,Avocados,0.55
2019-03-03,Strawberries,1.88
2019-03-03,Romaine Lettuce,0.7
2019-03-03,Red Leaf Lettuce,0.64
2019-03-03,Potatoes,1.7
2019-03-03,Oranges,0.42
2019-03-03,Iceberg Lettuce,1.03
2019-03-03,Green Leaf Lettuce,0.65
2019-03-03,Celery,1.78
2019-03-03,Cauliflower,2.45
2019-03-03,Carrots,0.3
2019-03-03,Broccoli Crowns,0.96
2019-03-03,Broccoli Bunches,1.07
2019-03-03,Avocados,0.52
2019-02-24,Strawberries,1.75
2019-02-24,Romaine Lettuce,0.79
2019-02-24,Red Leaf Lettuce,0.82
2019-02-24,Potatoes,1.7
2019-02-24,Oranges,0.42
2019-02-24,Iceberg Lettuce,1.34
2019-02-24,Green Leaf Lettuce,0.82
2019-02-24,Celery,1.7
2019-02-24,Cauliflower,3.38
2019-02-24,Carrots,0.3
2019-02-24,Broccoli Crowns,1.08
2019-02-24,Broccoli Bunches,1.17
2019-02-24,Avocados,0.52
2019-02-17,Strawberries,1.63
2019-02-17,Romaine Lettuce,0.6
2019-02-17,Red Leaf Lettuce,0.68
2019-02-17,Potatoes,1.7
2019-02-17,Oranges,0.41
2019-02-17,Iceberg Lettuce,0.88
2019-02-17,Green Leaf Lettuce,0.65
2019-02-17,Celery,1.71
2019-02-17,Cauliflower,3.04
2019-02-17,Carrots,0.3
2019-02-17,Broccoli Crowns,0.85
2019-02-17,Broccoli Bunches,0.98
2019-02-17,Avocados,0.52
2019-02-10,Oranges,0.41
2019-02-10,Strawberries,2.25
2019-02-10,Romaine Lettuce,0.4
2019-02-10,Red Leaf Lettuce,0.46
2019-02-10,Potatoes,1.7
2019-02-10,Iceberg Lettuce,0.41
2019-02-10,Green Leaf Lettuce,0.42
2019-02-10,Celery,1.72
2019-02-10,Cauliflower,2.27
2019-02-10,Carrots,0.3
2019-02-10,Broccoli Crowns,0.63
2019-02-10,Broccoli Bunches,1.14
2019-02-10,Avocados,0.52
2019-02-03,Romaine Lettuce,0.35
2019-02-03,Red Leaf Lettuce,0.44
2019-02-03,Potatoes,1.7
2019-02-03,Oranges,0.41
2019-02-03,Iceberg Lettuce,0.4
2019-02-03,Green Leaf Lettuce,0.38
2019-02-03,Celery,1.64
2019-02-03,Cauliflower,1.39
2019-02-03,Carrots,0.3
2019-02-03,Broccoli Crowns,0.56
2019-02-03,Broccoli Bunches,0.75
2019-02-03,Avocados,0.47
2019-01-27,Strawberries,2.63
2019-01-27,Romaine Lettuce,0.32
2019-01-27,Red Leaf Lettuce,0.42
2019-01-27,Potatoes,1.7
2019-01-27,Oranges,0.41
2019-01-27,Iceberg Lettuce,0.37
2019-01-27,Green Leaf Lettuce,0.41
2019-01-27,Celery,1.39
2019-01-27,Cauliflower,0.75
2019-01-27,Carrots,0.3
2019-01-27,Broccoli Crowns,0.38
2019-01-27,Avocados,0.46
2019-01-20,Strawberries,2.63
2019-01-20,Romaine Lettuce,0.33
2019-01-20,Red Leaf Lettuce,0.51
2019-01-20,Potatoes,1.7
2019-01-20,Oranges,0.45
2019-01-20,Iceberg Lettuce,0.41
2019-01-20,Green Leaf Lettuce,0.51
2019-01-20,Celery,1.42
2019-01-20,Cauliflower,0.96
2019-01-20,Carrots,0.32
2019-01-20,Broccoli Crowns,0.5
2019-01-20,Avocados,0.51
2019-01-13,Green Leaf Lettuce,0.66
2019-01-13,Strawberries,2.5
2019-01-13,Romaine Lettuce,0.35
2019-01-13,Red Leaf Lettuce,0.66
2019-01-13,Potatoes,1.7
2019-01-13,Oranges,0.45
2019-01-13,Iceberg Lettuce,0.78
2019-01-13,Celery,1.31
2019-01-13,Cauliflower,2.11
2019-01-13,Carrots,0.29
2019-01-13,Broccoli Crowns,1.07
2019-01-13,Broccoli Bunches,1.13
2019-01-13,Avocados,0.56
2019-01-06,Strawberries,2.63
2019-01-06,Romaine Lettuce,0.36
2019-01-06,Red Leaf Lettuce,0.66
2019-01-06,Potatoes,1.7
2019-01-06,Oranges,0.49
2019-01-06,Iceberg Lettuce,0.74
2019-01-06,Green Leaf Lettuce,0.64
2019-01-06,Celery,0.98
2019-01-06,Cauliflower,2.1
2019-01-06,Carrots,0.29
2019-01-06,Broccoli Crowns,1.01
2019-01-06,Broccoli Bunches,1.22
2019-01-06,Avocados,0.56
2018-12-30,Strawberries,2.5
2018-12-30,Romaine Lettuce,0.34
2018-12-30,Red Leaf Lettuce,0.64
2018-12-30,Potatoes,1.7
2018-12-30,Oranges,0.49
2018-12-30,Iceberg Lettuce,0.47
2018-12-30,Green Leaf Lettuce,0.61
2018-12-30,Flame Grapes,1
2018-12-30,Celery,0.78
2018-12-30,Cauliflower,1
2018-12-30,Carrots,0.29
2018-12-30,Broccoli Crowns,0.76
2018-12-30,Avocados,0.48
2018-12-23,Thompson Grapes,1.13
2018-12-23,Strawberries,2.88
2018-12-23,Romaine Lettuce,0.35
2018-12-23,Red Leaf Lettuce,0.65
2018-12-23,Potatoes,1.7
2018-12-23,Oranges,0.51
2018-12-23,Iceberg Lettuce,0.39
2018-12-23,Green Leaf Lettuce,0.64
2018-12-23,Flame Grapes,1
2018-12-23,Celery,0.83
2018-12-23,Cauliflower,0.61
2018-12-23,Carrots,0.29
2018-12-23,Broccoli Crowns,0.69
2018-12-23,Broccoli Bunches,0.76
2018-12-23,Avocados,0.46
2018-12-16,Thompson Grapes,1.1
2018-12-16,Strawberries,3.06
2018-12-16,Romaine Lettuce,0.35
2018-12-16,Red Leaf Lettuce,0.9
2018-12-16,Potatoes,1.7
2018-12-16,Oranges,0.51
2018-12-16,Iceberg Lettuce,0.45
2018-12-16,Green Leaf Lettuce,0.9
2018-12-16,Flame Grapes,1
2018-12-16,Celery,0.93
2018-12-16,Cauliflower,0.64
2018-12-16,Carrots,0.29
2018-12-16,Broccoli Crowns,0.71
2018-12-16,Broccoli Bunches,0.82
2018-12-16,Avocados,0.47
2018-12-09,Thompson Grapes,1.1
2018-12-09,Strawberries,3.25
2018-12-09,Romaine Lettuce,0.63
2018-12-09,Red Leaf Lettuce,2.03
2018-12-09,Potatoes,1.7
2018-12-09,Oranges,0.52
2018-12-09,Iceberg Lettuce,1.84
2018-12-09,Green Leaf Lettuce,2.03
2018-12-09,Flame Grapes,0.89
2018-12-09,Celery,1.17
2018-12-09,Cauliflower,1.19
2018-12-09,Carrots,0.29
2018-12-09,Broccoli Crowns,1.2
2018-12-09,Broccoli Bunches,1.36
2018-12-09,Avocados,0.48
2018-12-02,Thompson Grapes,0.85
2018-12-02,Strawberries,2.88
2018-12-02,Romaine Lettuce,1.01
2018-12-02,Red Leaf Lettuce,2.04
2018-12-02,Potatoes,1.7
2018-12-02,Oranges,0.55
2018-12-02,Iceberg Lettuce,2.16
2018-12-02,Green Leaf Lettuce,2.04
2018-12-02,Flame Grapes,0.89
2018-12-02,Celery,1.1
2018-12-02,Cauliflower,2.16
2018-12-02,Carrots,0.29
2018-12-02,Broccoli Crowns,1.44
2018-12-02,Avocados,0.55
2018-11-28,Green Leaf Lettuce,0.68
2018-11-25,Thompson Grapes,0.85
2018-11-25,Strawberries,2.69
2018-11-25,Potatoes,1.7
2018-11-25,Oranges,0.55
2018-11-25,Iceberg Lettuce,1.91
2018-11-25,Green Leaf Lettuce,1.84
2018-11-25,Flame Grapes,0.89
2018-11-25,Celery,0.79
